,artist,year,year
,count,amin,amax
dj-spinna,18,2016,2016
cut-chemist,18,2004,2011
360,18,2012,2016
the-d-o-c,18,2007,2016
dr-dooom,18,2006,2007
c-plus,18,2012,2012
el-p,18,2008,2015
bizzy-crook,18,2012,2016
diamond-and-the-psychotic-neurotics,18,1992,1992
gradur,18,2015,2016
damian-jr-gong-marley,18,2005,2016
bullion,18,2016,2016
fat-jon,18,2015,2015
dre-dog-andre-nickatina,18,2006,2006
dr-who-dat,18,2016,2016
anselmo-ralph,18,2013,2016
crazy-titch,17,2010,2010
celly-cel,17,2006,2008
durrty-goodz,17,2010,2016
alex-wiley,17,2013,2016
charles-hamilton,17,2010,2016
g-fellas,17,2015,2015
andy-mineo,17,2013,2015
the-dove-shack,17,1995,2006
c-dot-castro,17,2015,2015
dj-u-neek,17,2015,2015
30h3,17,2008,2013
genetikk,17,2016,2016
bio-killaz,17,2007,2007
a-trak,17,2011,2016
bikstok-ra-gsystem,16,2014,2014
choclair,16,2006,2010
alicia-bay-laurel,16,2015,2015
denzel-curry,16,2014,2016
baze,16,2006,2006
analog-brothers,16,2016,2016
amil,16,2006,2008
deniro-farrar,16,2012,2016
gasoline,16,2002,2002
bankroll-mafia,16,2016,2016
billy-griffin,16,1982,1983
donato,16,2014,2014
fatty-koo,16,2005,2008
ghostwridah,16,2011,2013
disturbing-tha-peace,16,2002,2007
boot-camp-clik,16,2006,2008
dred-scott,16,2016,2016
doe-b,16,2013,2015
fat-boys,16,2009,2015
danja-mowf,16,2006,2007
college-boyz,16,1992,1992
elastinen,15,2013,2016
dj-drez,15,2012,2012
divine-brown,15,2005,2009
derek-minor,15,2014,2016
der-plot,15,2014,2014
felix-krull,15,2014,2014
dreezy,15,2015,2016
czarface,15,2013,2016
buckshot,15,2006,2014
goin-through,15,2007,2014
chakuza-raf-camora,15,2014,2014
bobby-shmurda,15,2014,2016
cozz,15,2014,2016
def-jef,15,1989,1989
ahmir,15,2010,2015
abd-al-malik,15,2016,2016
bell-biv-devoe,15,1990,2016
george-watsky,15,2011,2011
bodega-bamz,15,2014,2016
dj-premier-bumpy-knuckles,15,2012,2012
deine-freunde,15,2014,2014
dat-adam,15,2016,2016
the-chicharones,15,2012,2012
gers-pardoel,15,2011,2011
bike-for-three,15,2014,2014
donnie-trumpet,15,2015,2016
gappy-ranks,14,2012,2016
adeaze,14,2006,2007
gabriel-o-pensador,14,2008,2016
cocoa-brovaz,14,2006,2006
chinese-man,14,2013,2013
colle-der-fomento,14,2015,2015
c2c,14,2012,2012
above-the-law,14,2006,2016
abica,14,2010,2010
flavor-flav,14,2006,2006
abstract-rude,14,2009,2010
daforce,14,2013,2013
dorrough-music,14,2012,2016
bishop-nehru,14,2013,2016
dead-celebrity-status,14,2004,2007
babycham,14,2006,2013
bad-meets-evil,14,2011,2015
bee,14,2009,2009
betty-ford-boys,14,2015,2015
deuce,14,2012,2015
dirty-money,14,2009,2011
dungeon-family,14,2001,2008
babaman,14,2009,2012
clams-casino,14,2013,2016
dosseh,14,2016,2016
earthling,14,2006,2014
the-gift-of-gab,14,2008,2009
doppelkopf,13,2006,2006
bridget-kelly,13,2011,2015
georgio,13,2016,2016
amanda-cook,13,2015,2015
frank-nitt,13,2015,2016
frank-t,13,2010,2010
da-youngsta-s,13,2016,2016
don-johnson-big-band,13,2009,2009
aleister-x,13,2014,2014
angeline-quinto,13,2011,2016
frenchie,13,2012,2016
girl-talk,13,2010,2014
cities-aviv,13,2014,2014
boss-hogg-outlawz,13,2006,2011
g-o-o-d-music,13,2012,2013
g4-boyz,13,2012,2016
dealema,13,2013,2013
boogie,13,2015,2016
dj-pain-1,13,2016,2016
french-montana-coke-boys,13,2012,2012
boldy-james,13,2012,2016
governor,13,2011,2013
dvsn,13,2015,2016
emicida,13,2012,2016
devonwho,13,2016,2016
grasu-xxl,13,2011,2011
cold-187um,13,2016,2016
anthony-evans,13,2008,2013
emanny,13,2011,2016
canton-jones,13,2009,2016
boogiemonsters,12,2016,2016
brown-boy,12,2006,2012
blood-raw,12,2008,2011
bethel-live,12,2012,2012
bernz,12,2016,2016
fu-schnickens,12,2008,2015
emm,12,2016,2016
erk-tha-jerk,12,2011,2016
born-jamericans,12,1994,2007
dolla,12,2008,2013
dorian-concept,12,2014,2014
gangsta-blac,12,2007,2007
beginner,12,2016,2016
brooke-candy,12,2013,2016
alkpote,12,2013,2013
d-mac,12,2012,2016
aggro-berlin,12,2007,2007
birdman-mack-maine,12,2012,2012
bashy,12,2010,2013
dj-scream,12,2012,2016
